,Bedrooms,Capacity,Price,Review_Count,Room_Type,Star_Rating,Avg_Price,log_Price,log_Avg_Price,log_Review_Count,Has_Star_Rating,log_Capacity,City_DA,City_DC,City_LA,City_NY,City_SF
10,1.0,2,100,22,1,5.0,92.9183006536,4.60517018599,4.41407475997,3.09104245336,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
11,1.0,2,73,9,1,5.0,92.9183006536,4.29045944115,4.41407475997,2.19722457734,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
12,1.0,2,100,52,2,4.5,92.9183006536,4.60517018599,4.41407475997,3.95124371858,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
13,1.0,2,78,15,1,4.0,92.9183006536,4.35670882669,4.41407475997,2.7080502011,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
14,0.0,2,132,1,2,0.0,92.9183006536,4.88280192259,4.41407475997,0.0,0,0.69314718056,0.0,0.0,0.0,1.0,0.0
15,1.0,2,75,0,1,0.0,92.9183006536,4.31748811354,4.41407475997,0.0,0,0.69314718056,0.0,0.0,0.0,1.0,0.0
16,1.0,2,185,17,2,5.0,92.9183006536,5.22035582508,4.41407475997,2.83321334406,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
17,0.0,2,100,4,2,5.0,92.9183006536,4.60517018599,4.41407475997,1.38629436112,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
0,1.0,2,65,11,1,5.0,92.9183006536,4.1743872699,4.41407475997,2.3978952728,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
1,1.0,2,108,8,2,5.0,92.9183006536,4.68213122712,4.41407475997,2.07944154168,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
2,1.0,2,49,1,1,0.0,92.9183006536,3.89182029811,4.41407475997,0.0,0,0.69314718056,0.0,0.0,0.0,1.0,0.0
3,1.0,4,250,9,2,4.5,92.9183006536,5.52146091786,4.41407475997,2.19722457734,1,1.38629436112,0.0,0.0,0.0,1.0,0.0
4,1.0,2,110,4,2,5.0,92.9183006536,4.70048036579,4.41407475997,1.38629436112,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
5,1.0,2,59,43,1,5.0,92.9183006536,4.07753744391,4.41407475997,3.76120011569,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
6,1.0,2,50,2,1,0.0,92.9183006536,3.91202300543,4.41407475997,0.69314718056,0,0.69314718056,0.0,0.0,0.0,1.0,0.0
7,0.0,4,116,3,2,5.0,92.9183006536,4.75359019111,4.41407475997,1.09861228867,1,1.38629436112,0.0,0.0,0.0,1.0,0.0
8,1.0,1,50,1,1,0.0,92.9183006536,3.91202300543,4.41407475997,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0
9,1.0,2,90,5,1,5.0,92.9183006536,4.49980967033,4.41407475997,1.60943791243,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
10,1.0,2,50,5,1,5.0,92.9183006536,3.91202300543,4.41407475997,1.60943791243,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
11,1.0,1,52,4,1,5.0,92.9183006536,3.95124371858,4.41407475997,1.38629436112,1,0.0,0.0,0.0,0.0,1.0,0.0
12,1.0,1,50,9,1,5.0,92.9183006536,3.91202300543,4.41407475997,2.19722457734,1,0.0,0.0,0.0,0.0,1.0,0.0
13,1.0,2,99,8,2,5.0,92.9183006536,4.59511985013,4.41407475997,2.07944154168,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
14,1.0,2,55,13,1,5.0,92.9183006536,4.00733318523,4.41407475997,2.56494935746,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
15,2.0,5,89,1,2,0.0,92.9183006536,4.48863636973,4.41407475997,0.0,0,1.60943791243,0.0,0.0,0.0,1.0,0.0
16,1.0,2,75,0,1,0.0,92.9183006536,4.31748811354,4.41407475997,0.0,0,0.69314718056,0.0,0.0,0.0,1.0,0.0
17,1.0,1,60,8,1,5.0,92.9183006536,4.09434456222,4.41407475997,2.07944154168,1,0.0,0.0,0.0,0.0,1.0,0.0
