efid,id,salesArea,score,scoreAlt,smartwayScore,standard,stdText
6PRXV03.8997,21689,7,1.0,-1.0,-1,L1,LEV
6PRXV03.8997,21690,3,1.0,-1.0,-1,B9,BIN 9
6PRXV03.8997,21690,7,1.0,-1.0,-1,L1,LEV
6PRXV03.8997,21691,3,1.0,-1.0,-1,B9,BIN 9
6PRXV03.8997,21691,7,1.0,-1.0,-1,L1,LEV
6PRXV03.8997,21692,3,1.0,-1.0,-1,B9,BIN 9
6PRXV03.8997,21692,7,1.0,-1.0,-1,L1,LEV
6PRXV03.8997,21693,3,1.0,-1.0,-1,B9,BIN 9
6PRXV03.8997,21693,7,1.0,-1.0,-1,L1,LEV
6PRXV03.8997,21694,3,1.0,-1.0,-1,B9,BIN 9
6PRXV03.8997,21694,7,1.0,-1.0,-1,L1,LEV
6PRXV03.8997,21695,3,1.0,-1.0,-1,B9,BIN 9
6PRXV03.8997,21695,7,1.0,-1.0,-1,L1,LEV
6PRXV03.8997,21696,3,1.0,-1.0,-1,B9,BIN 9
6PRXV03.8997,21696,7,1.0,-1.0,-1,L1,LEV
6PRXV03.8997,21697,3,1.0,-1.0,-1,B9,BIN 9
6PRXV03.8997,21697,7,1.0,-1.0,-1,L1,LEV
6PRXV03.8997,21698,3,1.0,-1.0,-1,B9,BIN 9
6PRXV03.8997,21698,7,1.0,-1.0,-1,L1,LEV
6PRXV03.8997,21699,3,1.0,-1.0,-1,B9,BIN 9
6PRXV03.8997,21699,7,1.0,-1.0,-1,L1,LEV
6PRXV03.8997,21700,3,1.0,-1.0,-1,B9,BIN 9
6PRXV03.8997,21700,7,1.0,-1.0,-1,L1,LEV
6PRXV03.8997,21701,3,1.0,-1.0,-1,B9,BIN 9
6PRXV03.8997,21701,7,1.0,-1.0,-1,L1,LEV
6PRXV03.8997,21702,3,1.0,-1.0,-1,B9,BIN 9
6PRXV03.8997,21702,7,1.0,-1.0,-1,L1,LEV
6PRXV03.8997,21703,3,1.0,-1.0,-1,B9,BIN 9
6PRXV03.8997,21703,7,1.0,-1.0,-1,L1,LEV
6VWXV02.5253,21704,3,5.0,-1.0,-1,B5,BIN 5
6VWXV02.5253,21704,7,6.0,-1.0,1,U2,ULEV II
6VWXV02.5253,21705,3,5.0,-1.0,-1,B5,BIN 5
6VWXV02.5253,21705,7,6.0,-1.0,1,U2,ULEV II
6HNXV02.0DKC,21706,3,5.0,-1.0,1,B5,BIN 5
6HNXV02.0DKC,21706,7,5.0,-1.0,1,L2,LEV II
6HNXV02.0DKC,21707,3,5.0,-1.0,1,B5,BIN 5
6HNXV02.0DKC,21707,7,5.0,-1.0,1,L2,LEV II
6HNXV02.0DKC,21708,3,5.0,-1.0,1,B5,BIN 5
6HNXV02.0DKC,21708,7,5.0,-1.0,1,L2,LEV II
6ADXV01.8342,21709,3,2.0,-1.0,-1,B8,Bin 8
6ADXV01.8342,21709,7,2.0,-1.0,-1,B8,Bin 8
6ADXV03.0354,21710,3,5.0,-1.0,-1,B5,BIN 5
6ADXV03.0354,21710,7,5.0,-1.0,-1,L2,LEV II
6ADXV04.2345,21711,3,1.0,-1.0,-1,B9,BIN 9
6ADXV04.2345,21711,7,1.0,-1.0,-1,L1,LEV
6ADXV04.2345,21712,3,1.0,-1.0,-1,B9,BIN 9
6ADXV04.2345,21712,7,1.0,-1.0,-1,L1,LEV
6BMXB03.0UL2,21713,3,5.0,-1.0,-1,B5,BIN 5
6BMXB03.0UL2,21713,7,6.0,-1.0,1,U2,ULEV II
6BMXB03.0UL2,21714,3,5.0,-1.0,-1,B5,BIN 5
6BMXB03.0UL2,21714,7,6.0,-1.0,1,U2,ULEV II
6BMXV02.5M56,21714,3,5.0,-1.0,-1,B5,BIN 5
6BMXV02.5M56,21714,7,9.0,-1.0,1,S2,SULEV II
6BMXB03.0UL2,21715,3,5.0,-1.0,-1,B5,BIN 5
6BMXB03.0UL2,21715,7,6.0,-1.0,1,U2,ULEV II
6BMXB03.0UL2,21716,3,5.0,-1.0,-1,B5,BIN 5
6BMXB03.0UL2,21716,7,6.0,-1.0,1,U2,ULEV II
6BMXV04.8UL2,21717,3,5.0,-1.0,-1,B5,BIN 5
6BMXV04.8UL2,21717,7,6.0,-1.0,-1,U2,ULEV II
6BMXV04.8UL2,21718,3,5.0,-1.0,-1,B5,BIN 5
6BMXV04.8UL2,21718,7,6.0,-1.0,-1,U2,ULEV II
6BMXV04.8UL2,21719,3,5.0,-1.0,-1,B5,BIN 5
6BMXV04.8UL2,21719,7,6.0,-1.0,-1,U2,ULEV II
6BMXV04.8UL2,21720,3,5.0,-1.0,-1,B5,BIN 5
6BMXV04.8UL2,21720,7,6.0,-1.0,-1,U2,ULEV II
6BMXV04.8UL2,21721,3,5.0,-1.0,-1,B5,BIN 5
6BMXV04.8UL2,21721,7,6.0,-1.0,-1,U2,ULEV II
6BMXV04.8UL2,21722,3,5.0,-1.0,-1,B5,BIN 5
6BMXV04.8UL2,21722,7,6.0,-1.0,-1,U2,ULEV II
6BMXV03.2S54,21723,3,1.0,-1.0,-1,B9,BIN 9
